,name,artist,no. lyrics
0,Fire in the Water,Pond,196.0
1,Sixteen Days,Pond,236.0
2,Overthinking IT,WILLOW,317.0
3,Plastic Boogie,King Gizzard & The Lizard Wizard,
4,Under Wraps,Her's,340.0
5,Angel,Loyle Carner,698.0
6,23,Rejjie Snow,339.0
7,What's the Use?,Mac Miller,587.0
8,NERD,Lo Village,497.0
9,Feel so Good,Mase,694.0
14,Feels Like We Only Go Backwards,Tame Impala,232.0
15,Music To Walk Home By,Tame Impala,250.0
16,Captain Stupido,Thundercat,111.0
17,Ants,Tank and The Bangas,528.0
18,6 Feet,Zalinki,236.0
22,Ugotme,Omar Apollo,97.0
23,Walking In The Dark,Metronomy,169.0
24,Ice Cold Daydream,Shuggie Otis,164.0
25,Love Has Come Around,Donald Byrd,358.0
26,Loungin',Guru,329.0
27,Breathe,Bad Sounds,114.0
28,send my love,Marika Hackman,273.0
29,Buffalo,Toro y Moi,200.0
30,Cityfade,Against All Logic,69.0
31,A New,Little Dragon,87.0
36,Pantyhose,TV Girl,135.0
37,Untitled,Mk.gee,192.0
38,Solar Waltz,Cosmo Sheldrake,169.0
39,Hard Lie This,Georgia,
40,Solstice,Yeek,116.0
41,Forbidden Colours,Ryuichi Sakamoto,145.0
43,Pretty & Afraid,Jidenna,
45,Paperbacks,Arlo Parks,116.0
46,Like Me,Steve Lacy,698.0
47,Do You Realize??,The Flaming Lips,152.0
48,Kiss and Make Up,William DeVaughn,101.0
49,Shoot the Sun Down,The Drums,464.0
50,Rich Kids,The Drums,215.0
51,Scientists,Four Tet,
52,Star Catcher,Vansire,360.0
53,Gibraltar,Beirut,149.0
57,Pink Ocean,The Voidz,227.0
58,ALieNNatioN,The Voidz,302.0
61,Firefly,Mura Masa,184.0
62,Big Girls,Masego,348.0
63,Sleep Talking,Ravyn Lenae,280.0
65,All Over You,Majid Jordan,355.0
66,Hi This Is Flume,Flume,105.0
70,Run for Your Life,clipping.,816.0
71,Club Down,clipping.,797.0
75,yobantoite mojo,Otoboke Beaver,277.0
77,Cosmos,Yabadum,338.0
78,Look Alive,Yabadum,225.0
79,FANTAZIA,Roy Blair,604.0
80,SF,We Are The Night,110.0
87,Barefoot,Summer Soul,101.0
91,The Lights Behind You,SURL,194.0
92,RUN,Lee Jin Ah,199.0
93,Always with You,Aseul,68.0
94,Salad Cream,The Rhythm Method,156.0
95,She Works Out Too Much,MGMT,359.0
96,High Tolerance,Ameer Vann,265.0
0,Harmless Fun,Belot,207.0
1,Here Comes The Summer,The Fiery Furnaces,198.0
2,Time To Get By,South of France,
3,Funeral,Wallice,212.0
4,OMG,Suki Waterhouse,292.0
5,Locust Laced,Sleigh Bells,217.0
6,Nerve Damage!,Unknown Mortal Orchestra,120.0
7,Motorbike,Pete And The Pirates,240.0
8,Lies in the Eyes of Love,Part Time,111.0
9,Hate Me Soon,Yellow Ostrich,179.0
10,Secret Xtians,Unknown Mortal Orchestra,101.0
11,The Weather,Pond,111.0
13,Means That Much,H. Hawkline,252.0
14,Dreamhorse,Still Corners,69.0
15,Stupid Love,Lady Gaga,273.0
16,The Boy With the Arab Strap,Belle and Sebastian,326.0
17,How Can You Luv Me,Unknown Mortal Orchestra,168.0
18,Sweep Me Off My Feet,Pond,146.0
19,Strangers Are Strange,Unknown Mortal Orchestra,124.0
20,aRTPOP,Lady Gaga,253.0
21,eNIGMA,Lady Gaga,266.0
22,Sister Owls,Monster Rally,
23,Waves,Electric Guest,251.0
24,Jupiter,Matt Maltese,179.0